d,d_A,b,a,d_1,e,Y,Y_0,C_dyn,C_stat,n_lim,m,Name
90,160,55,41,125.8,0.42,1.43,0.78,345000,530000,4200,4.76,33218
95,130,23,24,113,0.36,1.68,0.92,102000,181000,5300,0.964,32919
95,140,24,29,117.2,0.45,1.32,0.73,114000,167000,4950,1.15,T4CB095
95,145,32,32,121.4,0.44,1.36,0.75,201000,275000,5100,1.86,32019-X-XL
95,145,39,29,120.8,0.28,2.16,1.19,260000,380000,5000,2.57,33019-XL
95,155,42,43,128.8,0.57,1.06,0.58,218000,365000,4250,3.15,T5ED095
95,160,46,35,125.6,0.34,1.77,0.97,285000,430000,4250,3.76,T2ED095
95,160,49,38,128.7,0.39,1.54,0.85,305000,490000,4150,4.04,33119
100,140,25,24,120.6,0.33,1.82,1,126000,211000,4900,1.17,32920
100,150,32,33,126.3,0.46,1.31,0.72,205000,285000,4950,1.94,32020-X-XL
100,150,39,29,124.7,0.29,2.09,1.15,225000,395000,4450,2.42,33020
100,165,47,35,131.3,0.32,1.88,1.04,300000,470000,4100,4.25,T2EE100
105,145,25,25,125,0.34,1.75,0.96,128000,217000,4700,1.15,32921
105,160,35,35,133.7,0.44,1.35,0.74,238000,330000,4650,2.45,32021-X-XL
105,160,43,31,131.5,0.28,2.12,1.17,265000,450000,4150,3.06,33021
110,150,25,26,130.9,0.36,1.69,0.93,133000,231000,4550,1.41,32922
110,170,38,37,141.2,0.43,1.39,0.77,285000,395000,4350,3.06,32022-X-XL
110,170,47,33,139.2,0.29,2.09,1.15,295000,520000,3950,3.89,33022
120,165,29,29,141,0.35,1.72,0.95,176000,305000,4100,1.82,32924
120,180,38,40,151.2,0.46,1.31,0.72,295000,420000,4050,3.29,32024-X-XL
120,180,48,36,148.5,0.31,1.97,1.08,310000,560000,3700,4.53,33024
130,180,32,32,154.7,0.34,1.77,0.97,208000,370000,3750,2.4,32926
130,200,45,44,165.9,0.43,1.38,0.76,385000,550000,3650,4.83,32026-X-XL
130,230,43.75,46,174.4,0.44,1.38,0.76,420000,470000,3400,7.08,32026-Xl
140,190,32,34,164.8,0.36,1.67,0.92,214000,395000,3500,2.6,32928
140,210,45,46,175.6,0.46,1.31,0.72,400000,590000,3450,5.4,32028-X-XL
140,250,45.75,48,188,0.43,1.38,0.76,490000,560000,3100,8.8,30228-XL
